               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0658,            0.028884,            0.043386,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070236,           0.0033071,           0.0033071
                   1,            0.040934,            0.025082,             0.03963,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040017,           0.0064213,           0.0064213
                   2,            0.038361,             0.02114,             0.03561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009578,           0.0093155,           0.0093155
                   3,            0.034953,            0.018144,            0.032353,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   4,             0.03151,            0.017367,            0.030407,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.028203,            0.016635,            0.030379,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.026031,            0.016375,            0.027814,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.026602,            0.015508,            0.028475,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.025279,            0.014951,            0.028044,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                   9,             0.02434,            0.014417,            0.026249,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.022018,            0.013781,            0.024261,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.021944,            0.013826,            0.024424,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.020322,            0.013493,            0.021759,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.021197,            0.013223,            0.022717,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.019888,            0.013136,            0.021791,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.018596,            0.012856,            0.021729,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.018875,            0.012524,            0.020825,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.01938,            0.012689,            0.020581,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.016974,            0.012424,            0.020519,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.017144,            0.012113,             0.01861,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.01635,             0.01184,             0.01851,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.016674,            0.011711,            0.017348,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.016946,            0.011904,             0.01783,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.016249,            0.011605,            0.015949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.015551,            0.011556,            0.015572,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.014966,            0.011288,            0.015242,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.015038,            0.011488,            0.013418,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.014807,             0.01095,             0.01408,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.014882,            0.011239,            0.015824,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.013911,            0.010718,            0.013482,              0.8569,             0.86279,             0.92647,             0.86862,           0.0023763,           0.0017677,            0.003984,             0.00076,             0.00076,             0.00076
